en-conversation	GUM_conversation_toys	GUM_conversation_toys-119:3	full	two	two	yack pack
en-conversation	GUM_conversation_toys	GUM_conversation_toys-119:3	half	t	two	yack pack
en-conversation	GUM_conversation_toys	GUM_conversation_toys-119:3	transpose	tow	two	yack pack
en-conversation	GUM_conversation_toys	GUM_conversation_toys-171:0	full	yeah	yeah	
en-conversation	GUM_conversation_toys	GUM_conversation_toys-171:0	half	ye	yeah	
en-conversation	GUM_conversation_toys	GUM_conversation_toys-171:0	transpose	eyah	yeah	
en-conversation	GUM_conversation_toys	GUM_conversation_toys-138:0	full	like	like	
en-conversation	GUM_conversation_toys	GUM_conversation_toys-138:0	half	li	like	
en-conversation	GUM_conversation_toys	GUM_conversation_toys-138:0	transpose	ilke	like	
en-conversation	GUM_conversation_toys	GUM_conversation_toys-151:0	full	ouija	ouija	
en-conversation	GUM_conversation_toys	GUM_conversation_toys-151:0	half	ou	ouija	
en-conversation	GUM_conversation_toys	GUM_conversation_toys-151:0	transpose	oiuja	ouija	
en-conversation	GUM_conversation_toys	GUM_conversation_toys-68:6	full	at	at	a look
en-conversation	GUM_conversation_toys	GUM_conversation_toys-68:6	half	a	at	a look
en-conversation	GUM_conversation_toys	GUM_conversation_toys-74:11	full	things	things	get some
en-conversation	GUM_conversation_toys	GUM_conversation_toys-74:11	half	thi	things	get some
en-conversation	GUM_conversation_toys	GUM_conversation_toys-74:11	transpose	thnigs	things	get some
en-conversation	GUM_conversation_toys	GUM_conversation_toys-147:17	full	um	um	game except
en-conversation	GUM_conversation_toys	GUM_conversation_toys-147:17	half	u	um	game except
en-conversation	GUM_conversation_toys	GUM_conversation_toys-87:0	full	its	it's	
en-conversation	GUM_conversation_toys	GUM_conversation_toys-87:0	half	i	it's	
en-conversation	GUM_conversation_toys	GUM_conversation_toys-87:0	transpose	ist	it's	
en-conversation	GUM_conversation_toys	GUM_conversation_toys-90:0	full	no	no	
en-conversation	GUM_conversation_toys	GUM_conversation_toys-90:0	half	n	no	
en-conversation	GUM_conversation_toys	GUM_conversation_toys-160:10	full	answer	answer	knew the
en-conversation	GUM_conversation_toys	GUM_conversation_toys-160:10	half	ans	answer	knew the
en-conversation	GUM_conversation_toys	GUM_conversation_toys-160:10	transpose	answre	answer	knew the
en-conversation	GUM_conversation_toys	GUM_conversation_toys-142:0	full	who	who	
en-conversation	GUM_conversation_toys	GUM_conversation_toys-142:0	half	w	who	
en-conversation	GUM_conversation_toys	GUM_conversation_toys-142:0	transpose	hwo	who	
en-conversation	GUM_conversation_toys	GUM_conversation_toys-166:8	full	come	come	they're gonna
en-conversation	GUM_conversation_toys	GUM_conversation_toys-166:8	half	co	come	they're gonna
en-conversation	GUM_conversation_toys	GUM_conversation_toys-166:8	transpose	ocme	come	they're gonna
en-conversation	GUM_conversation_toys	GUM_conversation_toys-102:2	full	here	here	it's in
en-conversation	GUM_conversation_toys	GUM_conversation_toys-102:2	half	he	here	it's in
en-conversation	GUM_conversation_toys	GUM_conversation_toys-102:2	transpose	hree	here	it's in
en-conversation	GUM_conversation_toys	GUM_conversation_toys-142:15	full	today	today	the ghost
en-conversation	GUM_conversation_toys	GUM_conversation_toys-142:15	half	to	today	the ghost
en-conversation	GUM_conversation_toys	GUM_conversation_toys-142:15	transpose	otday	today	the ghost
en-conversation	GUM_conversation_toys	GUM_conversation_toys-24:3	full	bin	bin	the recycling
en-conversation	GUM_conversation_toys	GUM_conversation_toys-24:3	half	b	bin	the recycling
en-conversation	GUM_conversation_toys	GUM_conversation_toys-24:3	transpose	ibn	bin	the recycling
en-conversation	GUM_conversation_toys	GUM_conversation_toys-54:0	full	hed	he'd	
en-conversation	GUM_conversation_toys	GUM_conversation_toys-54:0	half	h	he'd	
en-conversation	GUM_conversation_toys	GUM_conversation_toys-54:0	transpose	hde	he'd	
en-conversation	GUM_conversation_toys	GUM_conversation_toys-38:8	full	those	those	is put
en-conversation	GUM_conversation_toys	GUM_conversation_toys-38:8	half	th	those	is put
en-conversation	GUM_conversation_toys	GUM_conversation_toys-38:8	transpose	tohse	those	is put
